,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,sentence_bow,sentence_bow_lem,sentence_dl
2454,569195472650268672,negative,1.0,Customer Service Issue,0.6484,United,,hadAbadWeek,,0,@united send someone to the customer service counter in person. DIA concourse B across from gate B36a.,,2015-02-21 10:02:30 -0800,,,united send someone customer service counter person dia concourse across gate b36a,united send someone customer service counter person dia concourse across gate b36a,united send someone to the customer service counter in person . dia concourse b across from gate b36a .
2455,569194996143755264,negative,1.0,Customer Service Issue,0.6652,United,,hadAbadWeek,,1,@united I'm not sure why I expected anyone to be here http://t.co/bnFlHPXtmw,,2015-02-21 10:00:36 -0800,,,united sure expected anyone t.co bnflhpxtmw,united sure expected anyone t.co bnflhpxtmw,united i 'm not sure why i expected anyone to be here : t.co bnflhpxtmw
2456,569194348375613441,negative,1.0,Late Flight,0.6667,United,,drwebber,,0,@united this is not true. Gate agents 100% caused this. And we're not helpful. Thanks for making me miss connection!! http://t.co/xAIzW2isml,,2015-02-21 09:58:02 -0800,"Chicago, IL",,united true gate agents 100 caused and 're helpful thanks making miss connection t.co xaizw2isml,united true gate agent 100 caused and 're helpful thanks making miss connection t.co xaizw2isml,united this is not true . gate agents 100 % caused this . and we 're not helpful . thanks for making me miss connection ! ! : t.co xaizw2isml
2459,569192549170032640,negative,1.0,Late Flight,1.0,United,,CBench79,,0,@united what's the hold up with flight 6475 from SLC to DEN??,,2015-02-21 09:50:53 -0800,"Salt Lake City, UT",Central Time (US & Canada),united hold flight 6475 slc den,united hold flight 6475 slc den,united what 's the hold up with flight 6475 from slc to den ? ?
2460,569191838579429377,negative,1.0,Cancelled Flight,0.6768,United,,HPStorageGuy,,0,@united DEN-PHX flight tomorrow Cancelled Flighted. Asked for overnight 2nite in LAX/SNA. Told not without paying. That's wrong,,2015-02-21 09:48:04 -0800,Boise,Mountain Time (US & Canada),united den phx flight tomorrow cancelled flighted asked overnight 2nite lax sna told without paying that wrong,united den phx flight tomorrow cancelled flighted asked overnight 2nite lax sna told without paying that wrong,united den phx flight tomorrow cancelled flighted . asked for overnight 2nite in lax sna . told not without paying . that 's wrong
2463,569188967180058625,negative,1.0,Can't Tell,0.6634,United,,recon_love,,0,@united Yeah that didn't happen!,,2015-02-21 09:36:39 -0800,,,united yeah n't happen,united yeah n't happen,united yeah that did n't happen !
2464,569188938012880896,negative,1.0,Lost Luggage,1.0,United,,NewsLadiesNeed,,0,@united Why do I still not have my bags? They arrived @10AM &amp;website says they're still at the airport..2 1/2 hours Late Flightr???!! #nothappy,"[33.89638659, -84.33108377]",2015-02-21 09:36:32 -0800,Atlanta,Eastern Time (US & Canada),united why still bags they arrived 10am amp website says 're still airport hours late flightr nothappy,united why still bag they arrived 10am amp website say 're still airport hour late flightr nothappy,united why do i still not have my bags ? they arrived 10am & amp ; website says they 're still at the airport .. 2 1 2 hours late flightr ? ? ? ! ! nothappy
2465,569188792541818880,negative,1.0,Bad Flight,0.3521,United,,paul_e_jones,,1,@United had a maintenance issue. Stuck in Geneva with meal voucher that won't even cover a pLate Flight of spaghetti. Really.,,2015-02-21 09:35:57 -0800,"Apex, NC",Eastern Time (US & Canada),united maintenance issue stuck geneva meal voucher n't even cover plate flight spaghetti really,united maintenance issue stuck geneva meal voucher n't even cover plate flight spaghetti really,united had a maintenance issue . stuck in geneva with meal voucher that wo n't even cover a plate flight of spaghetti . really .
2466,569187853412012032,negative,1.0,Flight Attendant Complaints,0.3411,United,,gngstout,,0,@united Hate when I get bumped out of the seat I've selected (&amp; empty row) and moved to another seat (non-empty). #1K #flt803 #nonupgrade!,,2015-02-21 09:32:13 -0800,SoMD,Eastern Time (US & Canada),united hate get bumped seat 've selected amp empty row moved another seat non empty flt803 nonupgrade,united hate get bumped seat 've selected amp empty row moved another seat non empty flt803 nonupgrade,united hate when i get bumped out of the seat i 've selected ( & amp ; empty row ) and moved to another seat ( non empty ) . 1k flt803 nonupgrade !
2467,569186762947493888,negative,1.0,Customer Service Issue,0.6635,United,,your_ride_dear,,0,"@united no announcement re extra baggage, ""find an empty bin"" down to aisle 20 back up with baggage to my seat row 7. YOUR agents argueing",,2015-02-21 09:27:53 -0800,ONTARIO CANADA,,united announcement extra baggage find empty bin aisle back baggage seat row your agents argueing,united announcement extra baggage find empty bin aisle back baggage seat row your agent argueing,"united no announcement re extra baggage , `` find an empty bin '' down to aisle 20 back up with baggage to my seat row 7 . your agents argueing"
2468,569186566247051265,negative,1.0,Lost Luggage,0.6785,United,,gehandabare,,1,@united bags arrived - I sure miss the customer focused days when I used to fly @ContinentalAir1 Here's hoping @united wakes up,,2015-02-21 09:27:07 -0800,,Eastern Time (US & Canada),united bags arrived sure miss customer focused days used fly continentalair1 here hoping united wakes,united bag arrived sure miss customer focused day used fly continentalair1 here hoping united wake,united bags arrived i sure miss the customer focused days when i used to fly continentalair1 here 's hoping united wakes up
2469,569185842876571648,negative,1.0,Flight Attendant Complaints,0.3564,United,,AnnieBodyCanada,,0,@united Total BS.have 1st class seats for connecting flight. Your crew Late Flight. We miss connection. Had next plane. Yet u don't honor it??,,2015-02-21 09:24:14 -0800,"Ontario, Canada",Eastern Time (US & Canada),united total bs.have 1st class seats connecting flight your crew late flight miss connection had next plane yet n't honor,united total bs.have 1st class seat connecting flight your crew late flight miss connection had next plane yet n't honor,united total bs.have 1st class seats for connecting flight . your crew late flight . we miss connection . had next plane . yet u do n't honor it ? ?
2470,569185594095509504,negative,1.0,Bad Flight,0.6787,United,,iamlaurencard,,1,.@united too much info to share via tweet. Please send me your name and contact info. Happy to supply you with images and CS rep names.,,2015-02-21 09:23:15 -0800,"Aliso Viejo, CA",Pacific Time (US & Canada),united much info share via tweet please send name contact info happy supply images rep names,united much info share via tweet please send name contact info happy supply image rep name,. united too much info to share via tweet . please send me your name and contact info . happy to supply you with images and cs rep names .
2471,569184999900995585,negative,1.0,Customer Service Issue,1.0,United,,NosihtamInc,,1,@united once again your lack of customer service astounds me! You are the worst airline in the history of airlines! Train your staff!,,2015-02-21 09:20:53 -0800,"Winnipeg, Manitoba",Central Time (US & Canada),united lack customer service astounds you worst airline history airlines train staff,united lack customer service astounds you worst airline history airline train staff,united once again your lack of customer service astounds me ! you are the worst airline in the history of airlines ! train your staff !
2472,569184788784918528,negative,1.0,Customer Service Issue,0.6667,United,,CFCDarlene,,0,@united Extremely disappointed in #Flight6831. United left crew and pssgrs stranded in rain @ gate with no cover. Left Psngrs 2 depart plane,"[25.08347991, -77.3225763]",2015-02-21 09:20:03 -0800,,Central Time (US & Canada),united extremely disappointed flight6831 united left crew pssgrs stranded rain gate cover left psngrs depart plane,united extremely disappointed flight6831 united left crew pssgrs stranded rain gate cover left psngrs depart plane,united extremely disappointed in flight6831 . united left crew and pssgrs stranded in rain gate with no cover . left psngrs 2 depart plane
2473,569183712606179329,negative,1.0,Customer Service Issue,0.6636,United,,TimothyJGill,,1,"@united besides landing the plane, overall customer service experience has been poor. Late Flight and rude workers plus missing luggage",,2015-02-21 09:15:46 -0800,"Cleveland, Ohio",Eastern Time (US & Canada),united besides landing plane overall customer service experience poor late flight rude workers plus missing luggage,united besides landing plane overall customer service experience poor late flight rude worker plus missing luggage,"united besides landing the plane , overall customer service experience has been poor . late flight and rude workers plus missing luggage"
2476,569181132685574144,negative,1.0,Can't Tell,0.6523,United,,hadAbadWeek,,1,"fuck you, @united and your shitty fucking information http://t.co/scQUjbvsTA",,2015-02-21 09:05:31 -0800,,,fuck united shitty fucking information t.co scqujbvsta,fuck united shitty fucking information t.co scqujbvsta,"fuck you , united and your shitty fucking information : t.co scqujbvsta"
2483,569172396680175616,negative,1.0,Bad Flight,0.6727,United,,jrdnly,,0,"@united on SFO-&gt;AUS UA343 2/17, IS9JX1; my seat appears to have had a mite problem. Dr recently confirmed over 50 bug bites were mites",,2015-02-21 08:30:48 -0800,"iPhone: 50.079998,14.441111",Eastern Time (US & Canada),united sfo aus ua343 is9jx1 seat appears mite problem recently confirmed bug bites mites,united sfo au ua343 is9jx1 seat appears mite problem recently confirmed bug bite mite,"united on sfo & gt ; aus ua343 2 17 , is9jx1 ; my seat appears to have had a mite problem . dr recently confirmed over 50 bug bites were mites"
2485,569172065724428288,negative,1.0,Customer Service Issue,0.66,United,,not_asteroid,,1,"@united customer service: 16hr delay coupon can only be redeemed on website which has $200 higher prices than Expedia, call wait time 55mins",,2015-02-21 08:29:29 -0800,,Atlantic Time (Canada),united customer service 16hr delay coupon redeemed website 200 higher prices expedia call wait time 55mins,united customer service 16hr delay coupon redeemed website 200 higher price expedia call wait time 55mins,"united customer service : 16hr delay coupon can only be redeemed on website which has $ 200 higher prices than expedia , call wait time 55mins"
2486,569170903948500992,negative,1.0,Can't Tell,1.0,United,,startupofme,,0,@united I'm strongly considering taking my business elsewhere. #UnitedAirlines,,2015-02-21 08:24:52 -0800,New York,Eastern Time (US & Canada),united strongly considering taking business elsewhere unitedairlines,united strongly considering taking business elsewhere unitedairlines,united i 'm strongly considering taking my business elsewhere . unitedairlines
2489,569169897906941952,negative,1.0,Bad Flight,0.7027,United,,startupofme,,0,"@united really needs to start upgrading their planes. No TVs &amp; then the ""inflight wifi"" is currently unavailable #UnitedAirlines",,2015-02-21 08:20:52 -0800,New York,Eastern Time (US & Canada),united really needs start upgrading planes tvs amp inflight wifi currently unavailable unitedairlines,united really need start upgrading plane tv amp inflight wifi currently unavailable unitedairlines,united really needs to start upgrading their planes . no tvs & amp ; then the `` inflight wifi '' is currently unavailable unitedairlines
2490,569169887689641984,negative,1.0,Flight Booking Problems,0.6737,United,,GoGirlKnows,,0,@united I am not digging the new mileage earning plan. I would earn about 1/3 of the miles I do now. Any changes to the award ticket prices?,,2015-02-21 08:20:50 -0800,,Hawaii,united digging new mileage earning plan would earn miles any changes award ticket prices,united digging new mileage earning plan would earn mile any change award ticket price,united i am not digging the new mileage earning plan . i would earn about 1 3 of the miles i do now . any changes to the award ticket prices ?
2491,569168955786600448,negative,1.0,Can't Tell,0.3636,United,,rpgibson8589,,0,@united outsourcing ticket and gate agents at MIA. Ill advised. You did it in ROC and service went downhill. Keep employees and fliers first,,2015-02-21 08:17:08 -0800,Rochester NY,Eastern Time (US & Canada),united outsourcing ticket gate agents mia ill advised you roc service went downhill keep employees fliers first,united outsourcing ticket gate agent mia ill advised you roc service went downhill keep employee flier first,united outsourcing ticket and gate agents at mia . ill advised . you did it in roc and service went downhill . keep employees and fliers first
2492,569168884798005248,negative,1.0,Customer Service Issue,1.0,United,,les_gingem,,0,@united Was just hung up on by customer service after waiting 30 min on hold...guess that vacation's not happening? Website wasn't working.,,2015-02-21 08:16:51 -0800,,,united was hung customer service waiting min hold ... guess vacation happening website n't working,united wa hung customer service waiting min hold ... guess vacation happening website n't working,united was just hung up on by customer service after waiting 30 min on hold ... guess that vacation 's not happening ? website was n't working .
2493,569168028014743552,negative,1.0,longlines,0.6706,United,,smallestnode,,0,@united bad idea to let 200 people back on the terminal with food vouchers but allow only 15 minutes to get anything.  Long lines!! #ua1523,,2015-02-21 08:13:27 -0800,"Boston, MA",,united bad idea let 200 people back terminal food vouchers allow minutes get anything long lines ua1523,united bad idea let 200 people back terminal food voucher allow minute get anything long line ua1523,united bad idea to let 200 people back on the terminal with food vouchers but allow only 15 minutes to get anything . long lines ! ! ua1523
2494,569167347996495872,negative,1.0,Flight Booking Problems,1.0,United,,tannad2001,,0,@united what's going on with the mileage plus accounts? Login through username and email have been down for at least three days.,,2015-02-21 08:10:45 -0800,Chicago,Central Time (US & Canada),united going mileage plus accounts login username email least three days,united going mileage plus account login username email least three day,united what 's going on with the mileage plus accounts ? login through username and email have been down for at least three days .
2495,569165652876881920,negative,1.0,Can't Tell,0.6589,United,,_LaVitaLoca,,0,@united what incentive do I have to give you another chance?,,2015-02-21 08:04:00 -0800,,Central Time (US & Canada),united incentive give another chance,united incentive give another chance,united what incentive do i have to give you another chance ?
2500,569163371746095104,negative,1.0,Lost Luggage,1.0,United,,kylemostyn,,0,@united lost bag in Huston we leave for a Bahamas cruise today from #nola and had to buy all new stuff. Customer service is non existent,,2015-02-21 07:54:57 -0800,YYC,,united lost bag huston leave bahamas cruise today nola buy new stuff customer service non existent,united lost bag huston leave bahamas cruise today nola buy new stuff customer service non existent,united lost bag in huston we leave for a bahamas cruise today from nola and had to buy all new stuff . customer service is non existent
2501,569162600237236224,negative,1.0,Flight Booking Problems,0.6774,United,,Zortrium0,,0,@United site errored out at last step of changing award. Now can't even pull up reservation. 60 minute wait time.  Thanks @United!,,2015-02-21 07:51:53 -0800,,Atlantic Time (Canada),united site errored last step changing award now n't even pull reservation minute wait time thanks united,united site errored last step changing award now n't even pull reservation minute wait time thanks united,united site errored out at last step of changing award . now ca n't even pull up reservation . 60 minute wait time . thanks united !
2505,569156387789361153,negative,1.0,Customer Service Issue,1.0,United,,JimRessler,,1,@united just had the worst customer service experience ever on united airlines,,2015-02-21 07:27:11 -0800,nyc,Quito,united worst customer service experience ever united airlines,united worst customer service experience ever united airline,united just had the worst customer service experience ever on united airlines
2506,569155039983497216,negative,1.0,Can't Tell,0.6593,United,,LewisSalgadoNYC,,0,@united airlines 1st &amp; only time I ever fly your airline! What a disgrace. @JimTrotter_NFL I should've listened to your tweet! #HORRIBLE,,2015-02-21 07:21:50 -0800,,Eastern Time (US & Canada),united airlines 1st amp time ever fly airline what disgrace jimtrotter_nfl 've listened tweet horrible,united airline 1st amp time ever fly airline what disgrace jimtrotter_nfl 've listened tweet horrible,united airlines 1st & amp ; only time i ever fly your airline ! what a disgrace . jimtrotter_nfl i should 've listened to your tweet ! horrible
2507,569154879484235776,negative,1.0,Bad Flight,0.6646,United,,tony____k,,0,"@united diverged to Burlington, Vermont. This sucks.",,2015-02-21 07:21:12 -0800,,Eastern Time (US & Canada),united diverged burlington vermont this sucks,united diverged burlington vermont this suck,"united diverged to burlington , vermont . this sucks ."
2508,569153669867945984,negative,1.0,Flight Attendant Complaints,0.3551,United,,smonnat,,1,@united officially has the most inefficient boarding procedure. There is no reason it should take 45 mins to board a plane!,,2015-02-21 07:16:23 -0800,"State College, PA",Eastern Time (US & Canada),united officially inefficient boarding procedure there reason take mins board plane,united officially inefficient boarding procedure there reason take min board plane,united officially has the most inefficient boarding procedure . there is no reason it should take 45 mins to board a plane !
2509,569153491983327232,negative,1.0,Late Flight,1.0,United,,smallestnode,,0,@united 3 hours of sitting in the plane that hasn't left the Gate yet. 6 more hours of actual flying left.,,2015-02-21 07:15:41 -0800,"Boston, MA",,united hours sitting plane n't left gate yet hours actual flying left,united hour sitting plane n't left gate yet hour actual flying left,united 3 hours of sitting in the plane that has n't left the gate yet . 6 more hours of actual flying left .
2510,569152740414218240,negative,1.0,Customer Service Issue,1.0,United,,sjampol,,0,@united I sent my details to the customer care link you sent me almost a month ago and no response.,,2015-02-21 07:12:42 -0800,San Francisco,Pacific Time (US & Canada),united sent details customer care link sent almost month ago response,united sent detail customer care link sent almost month ago response,united i sent my details to the customer care link you sent me almost a month ago and no response .
2511,569150031216779266,negative,1.0,Customer Service Issue,1.0,United,,kayyywe,,0,@united terrible service for military members and their families. #ridiculous #UnitedAirlines,,2015-02-21 07:01:56 -0800,,Eastern Time (US & Canada),united terrible service military members families ridiculous unitedairlines,united terrible service military member family ridiculous unitedairlines,united terrible service for military members and their families . ridiculous unitedairlines
2513,569149498183659520,negative,1.0,Cancelled Flight,1.0,United,,calebkelley,,0,@united My flight was Cancelled Flighted and I'm needing some help reFlight Booking Problems.,,2015-02-21 06:59:49 -0800,"Springfield, MO",,united flight cancelled flighted needing help reflight booking problems,united flight cancelled flighted needing help reflight booking problem,united my flight was cancelled flighted and i 'm needing some help reflight booking problems .
2514,569147852217135104,negative,1.0,Customer Service Issue,0.6392,United,,franknoc,,0,"@united I was, just very surprised it took over 15 mins. Never experienced anything like that on 1K number",,2015-02-21 06:53:16 -0800,,Arizona,united surprised took mins never experienced anything like number,united surprised took min never experienced anything like number,"united i was , just very surprised it took over 15 mins . never experienced anything like that on 1k number"
2516,569144072843063296,negative,1.0,Can't Tell,0.6589,United,,_LaVitaLoca,,0,@united I'm afraid not... I fly or service every week and I'm just unhappy..spend too much money to be unhappy,,2015-02-21 06:38:15 -0800,,Central Time (US & Canada),united afraid ... fly service every week unhappy spend much money unhappy,united afraid ... fly service every week unhappy spend much money unhappy,united i 'm afraid not ... i fly or service every week and i 'm just unhappy .. spend too much money to be unhappy
2518,569143454434926592,negative,1.0,Late Flight,0.6817,United,,hadAbadWeek,,0,"@united if you're going to Cancelled Flight flights today, do everyone a favor and get on it now. Don't stall the inevitable.",,2015-02-21 06:35:48 -0800,,,united 're going cancelled flight flights today everyone favor get n't stall inevitable,united 're going cancelled flight flight today everyone favor get n't stall inevitable,"united if you 're going to cancelled flight flights today , do everyone a favor and get on it now . do n't stall the inevitable ."
2519,569143406724837376,negative,1.0,Late Flight,1.0,United,,smallestnode,,0,@united your plane's been waiting at the Gate for two hours with all passengers onboard in their cramped seats. Yuck.,,2015-02-21 06:35:36 -0800,"Boston, MA",,united plane waiting gate two hours passengers onboard cramped seats yuck,united plane waiting gate two hour passenger onboard cramped seat yuck,united your plane 's been waiting at the gate for two hours with all passengers onboard in their cramped seats . yuck .
2520,569140808227672064,negative,1.0,Late Flight,1.0,United,,LandoForziati,,0,"@united 
Flight UA1665 got delayed 2 hours due to a mechanical issue...could use a free drink or 3 to make up for this inconvenience",,2015-02-21 06:25:17 -0800,"Cloud City, MA",,united flight ua1665 got delayed hours due mechanical issue ... could use free drink make inconvenience,united flight ua1665 got delayed hour due mechanical issue ... could use free drink make inconvenience,united flight ua1665 got delayed 2 hours due to a mechanical issue ... could use a free drink or 3 to make up for this inconvenience
2521,569140362025050112,negative,1.0,Customer Service Issue,0.6513,United,,AviNewYork,,1,@united his cell phone record needs to be checked to see who did conversed with. I trust the FAA can handle this better.,"[18.47240961, -68.39941149]",2015-02-21 06:23:31 -0800,,Eastern Time (US & Canada),united cell phone record needs checked see conversed trust faa handle better,united cell phone record need checked see conversed trust faa handle better,united his cell phone record needs to be checked to see who did conversed with . i trust the faa can handle this better .
2522,569139586124910593,negative,1.0,Can't Tell,0.6489,United,,retailtherapy10,,0,@united 15.99 for wireless?  Was 6.99 epic #fail . #greedy #piggy you are the worst!,,2015-02-21 06:20:26 -0800,,Quito,united 15.99 wireless was 6.99 epic fail greedy piggy worst,united 15.99 wireless wa 6.99 epic fail greedy piggy worst,united 15.99 for wireless ? was 6.99 epic fail . greedy piggy you are the worst !
2523,569139480101314560,negative,1.0,Can't Tell,0.6464,United,,AviNewYork,,1,@united have you inspected the picture? routine aircraft check while on his cell phone? What will the FAA &amp; NYT say ? http://t.co/bNgpli8JT6,"[18.4729405, -68.39820768]",2015-02-21 06:20:00 -0800,,Eastern Time (US & Canada),united inspected picture routine aircraft check cell phone what faa amp nyt say t.co bngpli8jt6,united inspected picture routine aircraft check cell phone what faa amp nyt say t.co bngpli8jt6,united have you inspected the picture ? routine aircraft check while on his cell phone ? what will the faa & amp ; nyt say ? : t.co bngpli8jt6
2524,569134299024367616,negative,1.0,Customer Service Issue,0.3705,United,,Pacen8r,,1,"@united your ""Airserv"" contractors aren't worth a wet damn. 30min Late Flight, still not done w bags on UA1566. They made checkin a calamity.",,2015-02-21 05:59:25 -0800,"Manassas, Virginia",Eastern Time (US & Canada),united airserv contractors n't worth wet damn 30min late flight still done bags ua1566 they made checkin calamity,united airserv contractor n't worth wet damn 30min late flight still done bag ua1566 they made checkin calamity,"united your `` airserv '' contractors are n't worth a wet damn . 30min late flight , still not done w bags on ua1566 . they made checkin a calamity ."
2525,569134266052816897,negative,1.0,Customer Service Issue,0.3796,United,,kylemostyn,,0,@united Will never fly with you again! Terrible service!! Ruined our entire vacation!! #lostsuitcase #noreimbursement,,2015-02-21 05:59:17 -0800,YYC,,united will never fly terrible service ruined entire vacation lostsuitcase noreimbursement,united will never fly terrible service ruined entire vacation lostsuitcase noreimbursement,united will never fly with you again ! terrible service ! ! ruined our entire vacation ! ! lostsuitcase noreimbursement
2526,569130479690981376,negative,1.0,Customer Service Issue,0.6758,United,,DiqM,,0,"@united web app won't let me upgrade seats, call center wait time is 20 minutes plus, just want to get more legroom but it's a pita",,2015-02-21 05:44:14 -0800,here,Mountain Time (US & Canada),united web app n't let upgrade seats call center wait time minutes plus want get legroom pita,united web app n't let upgrade seat call center wait time minute plus want get legroom pita,"united web app wo n't let me upgrade seats , call center wait time is 20 minutes plus , just want to get more legroom but it 's a pita"
2532,569125033509048320,negative,1.0,Late Flight,1.0,United,,beckybye,,0,@united on flight 1665 but it's not departing! Website says delayed due to operational difficulties-what does that mean?,,2015-02-21 05:22:36 -0800,"Denver, CO",Mountain Time (US & Canada),united flight 1665 departing website says delayed due operational difficulties mean,united flight 1665 departing website say delayed due operational difficulty mean,united on flight 1665 but it 's not departing ! website says delayed due to operational difficulties what does that mean ?
2533,569121422817112065,negative,1.0,Flight Attendant Complaints,0.6646,United,,thefarb,,0,"@united do you teach your gate agents 2 lie? Or do they just learn on their own? There was overhead space for my bag,  didn't have to check",,2015-02-21 05:08:15 -0800,"ÜT: 39.39339,-76.762595",Eastern Time (US & Canada),united teach gate agents lie learn there overhead space bag n't check,united teach gate agent lie learn there overhead space bag n't check,"united do you teach your gate agents 2 lie ? or do they just learn on their own ? there was overhead space for my bag , did n't have to check"
2535,569119503516246016,negative,1.0,Customer Service Issue,0.6523,United,,justin_gbp,,0,@united i booked lh via ua.  However at gate they rebooked me to a Late Flightr lh flight.  Now that flight didnt earn pqd for me.  How do i get it,"[43.59688282, -72.96820686]",2015-02-21 05:00:38 -0800,,,united booked via however gate rebooked late flightr flight now flight didnt earn pqd how get,united booked via however gate rebooked late flightr flight now flight didnt earn pqd how get,united i booked lh via ua . however at gate they rebooked me to a late flightr lh flight . now that flight didnt earn pqd for me . how do i get it
2536,569117696610185217,negative,1.0,Customer Service Issue,1.0,United,,BenBell22,,0,@united coupled with self-service policies/cost cutting exacerbates the noted issues. (3/3),,2015-02-21 04:53:27 -0800,,Eastern Time (US & Canada),united coupled self service policies cost cutting exacerbates noted issues,united coupled self service policy cost cutting exacerbates noted issue,united coupled with self service policies cost cutting exacerbates the noted issues . ( 3 3 )
2538,569116399039344640,negative,1.0,Customer Service Issue,0.6536,United,,BenBell22,,0,"@united It isnt simple issue, generally how you set up check in/baggage policies at Logan and general unhelpfulness of employees in early AM",,2015-02-21 04:48:17 -0800,,Eastern Time (US & Canada),united isnt simple issue generally set check baggage policies logan general unhelpfulness employees early,united isnt simple issue generally set check baggage policy logan general unhelpfulness employee early,"united it isnt simple issue , generally how you set up check in baggage policies at logan and general unhelpfulness of employees in early am"
2539,569115097198690305,negative,1.0,Lost Luggage,1.0,United,,lingley,,0,@United terrible illogical re-route after Cancelled Flightled connection. Then made me pay to check bag. Then lost bag. #ual,,2015-02-21 04:43:07 -0800,"ÜT: 42.706796,-71.210754",Quito,united terrible illogical route cancelled flightled connection then made pay check bag then lost bag ual,united terrible illogical route cancelled flightled connection then made pay check bag then lost bag ual,united terrible illogical re route after cancelled flightled connection . then made me pay to check bag . then lost bag . ual
2542,569105159764242433,negative,1.0,Late Flight,1.0,United,,recon_love,,0,@united never fails to have delayed flights 😡,,2015-02-21 04:03:38 -0800,,,united never fails delayed flights,united never fails delayed flight,united never fails to have delayed flights 😡
2543,569102054922129409,negative,1.0,Cancelled Flight,1.0,United,,_Eric_Bishop,,0,"@united Yes, myself and about 200 other people also.",,2015-02-21 03:51:17 -0800,Little Rock,Central Time (US & Canada),united yes 200 people also,united yes 200 people also,"united yes , myself and about 200 other people also ."
2548,569094744615157760,negative,1.0,Late Flight,1.0,United,,Sallee_D,,0,@united is ridiculous! UA6 delayed for 3.5 hours and counting. Should have booked with a diff airline that takes it seriously #unitedsucks,,2015-02-21 03:22:15 -0800,,Eastern Time (US & Canada),united ridiculous ua6 delayed 3.5 hours counting should booked diff airline takes seriously unitedsucks,united ridiculous ua6 delayed 3.5 hour counting should booked diff airline take seriously unitedsucks,united is ridiculous ! ua6 delayed for 3.5 hours and counting . should have booked with a diff airline that takes it seriously unitedsucks
2550,569089890173874176,negative,1.0,longlines,1.0,United,,CaseyBarnes1,,0,@united at MSP w/3 employees trying to check in several hundred and the line is crazy might miss our plane be sure to thank these employees,,2015-02-21 03:02:57 -0800,"Lake City, MN",Central Time (US & Canada),united msp employees trying check several hundred line crazy might miss plane sure thank employees,united msp employee trying check several hundred line crazy might miss plane sure thank employee,united at msp w 3 employees trying to check in several hundred and the line is crazy might miss our plane be sure to thank these employees
2557,569079375296999424,negative,1.0,Cancelled Flight,1.0,United,,DNLee5,,0,"@united my flight out of BGM Cancelled Flightled last night, I get a hotel voucher, but had to pay for a cab back. Worse cab experience ever",,2015-02-21 02:21:10 -0800,"New York, US; Tanzania, Africa",Central Time (US & Canada),united flight bgm cancelled flightled last night get hotel voucher pay cab back worse cab experience ever,united flight bgm cancelled flightled last night get hotel voucher pay cab back worse cab experience ever,"united my flight out of bgm cancelled flightled last night , i get a hotel voucher , but had to pay for a cab back . worse cab experience ever"
2558,569078346660900864,negative,1.0,Late Flight,1.0,United,,jakehparrott,,0,"@united's first flight (4651, to #IAH) from #IAD is delayed...because no one hooked up ground power to the plane. Get it together, folks.",,2015-02-21 02:17:05 -0800,"iPhone: 0.000000,0.000000",,united first flight 4651 iah iad delayed ... one hooked ground power plane get together folks,united first flight 4651 iah iad delayed ... one hooked ground power plane get together folk,"united 's first flight ( 4651 , to iah ) from iad is delayed ... because no one hooked up ground power to the plane . get it together , folks ."
2560,569077766022246400,negative,1.0,Late Flight,0.6689,United,,DaRenton,,0,@united already missed connection... UA 495,,2015-02-21 02:14:47 -0800,Colorado,Mountain Time (US & Canada),united already missed connection ... 495,united already missed connection ... 495,united already missed connection ... ua 495
2561,569077393886810112,negative,1.0,Flight Attendant Complaints,0.3404,United,,DaRenton,,0,@united typically once you get the problem fixed - then the crew expires - and the delay turns into a Cancelled Flight...,,2015-02-21 02:13:18 -0800,Colorado,Mountain Time (US & Canada),united typically get problem fixed crew expires delay turns cancelled flight ...,united typically get problem fixed crew expires delay turn cancelled flight ...,united typically once you get the problem fixed then the crew expires and the delay turns into a cancelled flight ...
2562,569076717689524224,negative,1.0,Late Flight,1.0,United,,DaRenton,,0,"@united UA 1706 delayed again - I get charged $600 if Late Flight by you - you say ""oh well""",,2015-02-21 02:10:37 -0800,Colorado,Mountain Time (US & Canada),united 1706 delayed get charged 600 late flight say well,united 1706 delayed get charged 600 late flight say well,united ua 1706 delayed again i get charged $ 600 if late flight by you you say `` oh well ''
2564,569075352888176640,negative,1.0,Customer Service Issue,0.6774,United,,elliotdebruyn,,0,"@united Friend stuck in bus on runway at PEK with two small kids no customer service, no explanation, kids crying, awful service.",,2015-02-21 02:05:11 -0800,"Shanghai, China",Beijing,united friend stuck bus runway pek two small kids customer service explanation kids crying awful service,united friend stuck bus runway pek two small kid customer service explanation kid cry awful service,"united friend stuck in bus on runway at pek with two small kids no customer service , no explanation , kids crying , awful service ."
2566,569058014650433536,negative,1.0,Flight Attendant Complaints,1.0,United,,_SamanthaAkira,,0,@united no. U guys suck. I'll never fly with u again. And ur supervisors suck too.,"[33.99585652, -117.35791469]",2015-02-21 00:56:17 -0800,,Pacific Time (US & Canada),united guys suck 'll never fly and supervisors suck,united guy suck 'll never fly and supervisor suck,united no . u guys suck . i 'll never fly with u again . and ur supervisors suck too .
